Course name;Link;sws;german;english;Komplexpraktikum;Seminar;Vorlesung;Software engineering;AI;Low-level;Security;Web;Theoretical;Sommersemester;Wintersemester
Betriebssysteme;https://tu-dresden.de/inf/os/studium/praktika-seminare/hauptseminar;2;1;0;0;1;0;0;0;1;0;0;0;1;1
Mensch-Computer Interaktion;https://tu-dresden.de/ing/informatik/ai/mci/studium/lehrveranstaltungen/komplexpraktikum-mensch-computer-interaktion;4;1;0;1;0;0;1;0;0;0;0;0;1;1
Datenbanken;https://wwwdb.inf.tu-dresden.de/study/teaching/summer-term-2020/hauptseminar-datenbanken/;2;1;1;0;1;0;1;1;1;0;0;0;1;1
Privacy;https://tu-dresden.de/ing/informatik/sya/ps/studium/seminars/ps-sic/?set_language=de;2;1;0;0;1;0;0;0;1;1;0;0;1;1
Natural Language Processing II;https://www.orchid.inf.tu-dresden.de/teaching/2020ws/seminar/;2;1;0;0;1;0;0;1;0;0;0;1;1;1
Service and Cloud Computing;https://tu-dresden.de/ing/informatik/sya/professur-fuer-rechnernetze/studium/lehrveranstaltungen/lehrveranstaltungsdetails?ln=en&lv_id=55;2;1;1;0;1;0;1;0;0;1;1;0;1;1
Adaptive dynamic systems;https://tu-dresden.de/ing/informatik/ti/ads/studium/winter/forschungsprojekt;8;1;1;1;0;0;1;0;1;0;0;0;0;1
Computer- und robotergestützte Chirurgie;https://www.nct-dresden.de/forschung/departments-and-groups/department-for-translational-surgical-oncology/teaching.html;4;1;1;1;0;0;0;1;0;0;0;0;1;1
Audio Interfaces;https://tu-dresden.de/ing/informatik/smt/mg/studium/lehrveranstaltungen;4;1;0;1;0;0;0;0;0;0;1;0;1;0
Forschungsprojekt Computational Logic;https://iccl.inf.tu-dresden.de/web/Lehrveranstaltungen;8;1;1;1;0;0;0;0;0;0;0;1;1;0
Cryptography and Security;https://tu-dresden.de/ing/informatik/sya/ps/studium/seminars/kp-crypto;4;1;1;1;0;0;0;0;1;1;0;0;1;1
Mobile and Ubiquitous Computing;https://tu-dresden.de/ing/informatik/sya/professur-fuer-rechnernetze/studium/lehrveranstaltungen/lehrveranstaltungsdetails?ln=de&lv_id=37;4;1;1;1;0;0;1;0;0;0;1;0;1;1
Computer Vision I;https://mlcv.inf.tu-dresden.de/courses/wt20/cv1/index.html;4;0;1;0;0;1;0;1;0;0;0;0;0;1
Computer Vision II;https://mlcv.inf.tu-dresden.de/courses/st20/cv2/index.html;4;0;1;0;0;1;0;1;0;0;0;0;1;0
Machine Learning I;https://mlcv.inf.tu-dresden.de/courses/wt20/ml1/index.html;4;0;1;0;0;1;0;1;0;0;0;0;0;1
Machine Learning 2;https://mlcv.inf.tu-dresden.de/courses/st20/ml2/index.html;4;0;1;0;0;1;0;1;0;0;0;0;1;0
Problem Solving and Search in AI;https://iccl.inf.tu-dresden.de/web/Problem_Solving_and_Search_in_Artificial_Intelligence_(SS2020);6;0;1;0;0;1;0;1;0;0;0;1;1;0
Compilerbau;https://cfaed.tu-dresden.de/cc-teaching;4;0;1;0;0;1;0;0;1;1;0;1;0;1
Compilerbau;https://cfaed.tu-dresden.de/cc-teaching;4;1;0;0;0;1;0;0;1;1;0;1;1;0
Internet and Web Applications;https://tu-dresden.de/ing/informatik/sya/professur-fuer-rechnernetze/studium/lehrveranstaltungen/lehrveranstaltungsdetails?ln=de&lv_id=50;4;0;1;0;0;1;1;0;0;1;1;0;1;0
Cryptography and Cryptanalysis;https://tu-dresden.de/ing/informatik/sya/ps/studium/lectures/crypto;4;1;0;0;0;1;0;0;0;1;0;0;1;0
Scalable Data Management;https://wwwdb.inf.tu-dresden.de/study/teaching/summer-term-2020/scalable-data-processing-concepts/;4;1;0;0;0;1;1;0;0;0;0;0;1;0
Schedulingtheorie;https://tu-dresden.de/ing/informatik/sya/professur-fuer-betriebssysteme/studium/vorlesungen/schedulingtheorie;2;1;0;0;0;1;0;0;1;0;0;0;1;0
Security and Cryptography II;https://tu-dresden.de/ing/informatik/sya/ps/studium/lectures/sac-ii?set_language=en;4;0;1;0;0;1;0;0;0;1;0;0;1;0
Information Retrieval;https://wwwdb.inf.tu-dresden.de/study/teaching/winter-term-2020-21/information-retrieval/;4;1;0;0;0;1;1;1;0;0;0;0;0;1
Microkernel-Based Operating Systems;https://tu-dresden.de/ing/informatik/sya/professur-fuer-betriebssysteme/studium/vorlesungen/mos;3;1;0;0;0;1;0;0;1;1;0;0;0;1
Programming for Data Science;https://wwwdb.inf.tu-dresden.de/study/teaching/winter-term-2020-21/programming-for-data-science/;4;1;0;1;0;1;1;1;0;0;0;0;0;1
Service and Cloud Computing;https://tu-dresden.de/ing/informatik/sya/professur-fuer-rechnernetze/studium/lehrveranstaltungen/lehrveranstaltungsdetails?ln=en&lv_id=49;4;1;0;0;0;1;1;0;0;0;1;0;0;1
Systems Engineering I;https://tu-dresden.de/ing/informatik/sya/se/studium/lehrveranstaltungen/winter-semester/systems_engineering_1;4;0;1;0;0;1;1;0;0;0;1;0;0;1
Systems Engineering II;https://tu-dresden.de/ing/informatik/sya/se/studium/lehrveranstaltungen/winter-semester/systems_engineering_2;4;0;1;0;0;1;1;0;0;0;1;0;0;1
Automata and Logic;https://tu-dresden.de/ing/informatik/thi/lat/studium/lehrveranstaltungen/wintersemester-2020-2021/automata-and-logic;4;0;1;0;0;1;0;0;0;0;0;1;0;1
